Commodities,Countries,DomesticForeign,District,Time,Value ($US) (Default Member)
"All Commodities","Canada","Total Exports","All Districts","2020","256212256538"
"All Commodities","Canada","Total Exports","All Districts","2021","309604001291"
"All Commodities","Canada","Total Exports","All Districts","2022","359084152609"
"All Commodities","Canada","Total Exports","All Districts","2023","354407979759"
"All Commodities","Canada","Total Exports","All Districts","2024","349908153123"
"All Commodities","Canada","Total Exports","All Districts","2025 through June","169530368915"
"All Commodities","China","Total Exports","All Districts","2020","124581510375"
"All Commodities","China","Total Exports","All Districts","2021","151439394988"
"All Commodities","China","Total Exports","All Districts","2022","153987373591"
"All Commodities","China","Total Exports","All Districts","2023","147635464218"
"All Commodities","China","Total Exports","All Districts","2024","143226749368"
"All Commodities","China","Total Exports","All Districts","2025 through June","56011101703"
"All Commodities","European Union","Total Exports","All Districts","2020","232852311596"
"All Commodities","European Union","Total Exports","All Districts","2021","272277009121"
"All Commodities","European Union","Total Exports","All Districts","2022","351031641481"
"All Commodities","European Union","Total Exports","All Districts","2023","368429966603"
"All Commodities","European Union","Total Exports","All Districts","2024","369789330661"
"All Commodities","European Union","Total Exports","All Districts","2025 through June","201886147291"
"All Commodities","India","Total Exports","All Districts","2020","27081657766"
"All Commodities","India","Total Exports","All Districts","2021","39817425746"
"All Commodities","India","Total Exports","All Districts","2022","46819202978"
"All Commodities","India","Total Exports","All Districts","2023","40317521829"
"All Commodities","India","Total Exports","All Districts","2024","41536952116"
"All Commodities","India","Total Exports","All Districts","2025 through June","22052127683"
"All Commodities","Japan","Total Exports","All Districts","2020","64030307995"
"All Commodities","Japan","Total Exports","All Districts","2021","74729967807"
"All Commodities","Japan","Total Exports","All Districts","2022","80151186168"
"All Commodities","Japan","Total Exports","All Districts","2023","75794402717"
"All Commodities","Japan","Total Exports","All Districts","2024","78978400465"
"All Commodities","Japan","Total Exports","All Districts","2025 through June","40459520438"
"All Commodities","Korea, South","Total Exports","All Districts","2020","50978204887"
"All Commodities","Korea, South","Total Exports","All Districts","2021","65807092743"
"All Commodities","Korea, South","Total Exports","All Districts","2022","72034270447"
"All Commodities","Korea, South","Total Exports","All Districts","2023","64966071886"
"All Commodities","Korea, South","Total Exports","All Districts","2024","65586297175"
"All Commodities","Korea, South","Total Exports","All Districts","2025 through June","33425568836"
"All Commodities","Mexico","Total Exports","All Districts","2020","212512806763"
"All Commodities","Mexico","Total Exports","All Districts","2021","277194626233"
"All Commodities","Mexico","Total Exports","All Districts","2022","327016123443"
"All Commodities","Mexico","Total Exports","All Districts","2023","323637150335"
"All Commodities","Mexico","Total Exports","All Districts","2024","334031930350"
"All Commodities","Mexico","Total Exports","All Districts","2025 through June","168170473021"
"All Commodities","Taiwan","Total Exports","All Districts","2020","30214361572"
"All Commodities","Taiwan","Total Exports","All Districts","2021","36843518408"
"All Commodities","Taiwan","Total Exports","All Districts","2022","43939810949"
"All Commodities","Taiwan","Total Exports","All Districts","2023","39958019218"
"All Commodities","Taiwan","Total Exports","All Districts","2024","42537368879"
"All Commodities","Taiwan","Total Exports","All Districts","2025 through June","25757224060"
"All Commodities","United Kingdom","Total Exports","All Districts","2020","58532524177"
"All Commodities","United Kingdom","Total Exports","All Districts","2021","61667136420"
"All Commodities","United Kingdom","Total Exports","All Districts","2022","76804955876"
"All Commodities","United Kingdom","Total Exports","All Districts","2023","75024224494"
"All Commodities","United Kingdom","Total Exports","All Districts","2024","79532064951"
"All Commodities","United Kingdom","Total Exports","All Districts","2025 through June","48422592032"
