Date,Tariff action,Chinese tariffs on ROW exports,Chinese tariffs on US exports,US tariffs on Chinese exports,US tariffs on ROW exports,Country,Links,Long_Beach_TEU,CALos_Angeles_TEU,CANY&NJ_TEU,ISM Manufacturing PMI
2024-01-01 00:00:00,China adjusts MFN tariff rates for 2024,6.5,21.1,19.3,3,,,674015,855652,667346,49.1
2024-01-02 00:00:00,,6.5,21.1,19.3,3,,,674015,855652,667346,49.1
2024-01-03 00:00:00,,6.5,21.1,19.3,3,,,674015,855652,667346,49.1
2024-01-04 00:00:00,,6.5,21.1,19.3,3,,,674015,855652,667346,49.1
2024-01-05 00:00:00,,6.5,21.1,19.3,3,,,674015,855652,667346,49.1
2024-01-06 00:00:00,,6.5,21.1,19.3,3,,,674015,855652,667346,49.1
2024-01-07 00:00:00,,6.5,21.1,19.3,3,,,674015,855652,667346,49.1
2024-01-08 00:00:00,,6.5,21.1,19.3,3,,,674015,855652,667346,49.1
2024-01-09 00:00:00,,6.5,21.1,19.3,3,,,674015,855652,667346,49.1
2024-01-10 00:00:00,,6.5,21.1,19.3,3,,,674015,855652,667346,49.1
2024-01-11 00:00:00,,6.5,21.1,19.3,3,,,674015,855652,667346,49.1
2024-01-12 00:00:00,,6.5,21.1,19.3,3,,,674015,855652,667346,49.1
2024-01-13 00:00:00,,6.5,21.1,19.3,3,,,674015,855652,667346,49.1
2024-01-14 00:00:00,,6.5,21.1,19.3,3,,,674015,855652,667346,49.1
2024-01-15 00:00:00,,6.5,21.1,19.3,3,,,674015,855652,667346,49.1
2024-01-16 00:00:00,,6.5,21.1,19.3,3,,,674015,855652,667346,49.1
2024-01-17 00:00:00,,6.5,21.1,19.3,3,,,674015,855652,667346,49.1
2024-01-18 00:00:00,,6.5,21.1,19.3,3,,,674015,855652,667346,49.1
2024-01-19 00:00:00,,6.5,21.1,19.3,3,,,674015,855652,667346,49.1
2024-01-20 00:00:00,,6.5,21.1,19.3,3,,,674015,855652,667346,49.1
2024-01-21 00:00:00,,6.5,21.1,19.3,3,,,674015,855652,667346,49.1
2024-01-22 00:00:00,,6.5,21.1,19.3,3,,,674015,855652,667346,49.1
