date	Long_Beach	CALos_Angeles	CANY&NJ
2025-08	901845	958355	None
2025-07	944233	1019837	794268
2025-06	704403	892340	687671
2025-05	639160	716619	774698
2025-04	867494	842807	751194
2025-03	817457	778406	782958
2025-02	765385	801398	698748
2025-01	952734	924245	720283
2024-12	861006	921617	688358
2024-11	884156	884315	720149
2024-10	987190	905026	704271
2024-09	829499	954706	779331
2024-08	913874	960597	790759
2024-07	882377	939600	806015
2024-06	842466	827757	708977
2024-05	842466	752893	790758
2024-04	750424	770337	709469
2024-03	654084	743417	701648
2024-02	674724	781434	632455
2024-01	674015	855652	667346

